Project Name,Package Name,Type Name,Code Smell
..,org.apache.roller.weblogger.business.search.lucene,ReadFromIndexOperation,Unutilized Abstraction
..,org.apache.roller.weblogger.business.search.lucene,RebuildWebsiteIndexOperation,Unutilized Abstraction
..,org.apache.roller.weblogger.business.search.lucene,RebuildWebsiteIndexOperation,Broken Hierarchy
..,org.apache.roller.weblogger.business.search.lucene,ReIndexEntryOperation,Unutilized Abstraction
..,org.apache.roller.weblogger.business.search.lucene,ReIndexEntryOperation,Broken Hierarchy
..,org.apache.roller.weblogger.business.search.lucene,RemoveEntryOperation,Unutilized Abstraction
..,org.apache.roller.weblogger.business.search.lucene,RemoveEntryOperation,Broken Hierarchy
..,org.apache.roller.weblogger.business.search.lucene,RemoveWebsiteIndexOperation,Unutilized Abstraction
..,org.apache.roller.weblogger.business.search.lucene,RemoveWebsiteIndexOperation,Broken Hierarchy
..,org.apache.roller.weblogger.business.search.lucene,SearchOperation,Unutilized Abstraction
..,org.apache.roller.weblogger.business.search.lucene,SearchOperation,Broken Hierarchy
..,org.apache.roller.weblogger.business.search.lucene,SearchOperation,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.business.search.lucene,WriteToIndexOperation,Unutilized Abstraction
..,org.apache.roller.weblogger.business.themes,SharedThemeFromDir,Unutilized Abstraction
..,org.apache.roller.weblogger.business.themes,SharedThemeTemplate,Insufficient Modularization
..,org.apache.roller.weblogger.business.themes,ThemeInitializationException,Unutilized Abstraction
..,org.apache.roller.weblogger.business.themes,ThemeManager,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.business.themes,ThemeMetadata,Insufficient Modularization
..,org.apache.roller.weblogger.business.themes,ThemeNotFoundException,Unutilized Abstraction
..,org.apache.roller.weblogger.business.themes,ThemeParsingException,Unutilized Abstraction
..,org.apache.roller.weblogger.business.themes,WeblogCustomTheme,Unutilized Abstraction
..,org.apache.roller.weblogger.business.themes,WeblogSharedTheme,Unutilized Abstraction
..,org.apache.roller.weblogger.planet.business,PlanetURLStrategy,Unutilized Abstraction
