TypeName,WMC,NC,DIT,LCOM,FANIN,FANOUT
SharedThemeTemplateRendition,15,0,1,0.3076923076923077,2,1
ThemeNotFoundException,4,0,2,-1.0,0,0
SharedThemeResourceFromDir,10,0,2,0.2,1,1
SharedThemeFromDir,39,0,2,0.0,0,9
ThemeMetadataParser,25,0,0,-1.0,1,3
WeblogSharedTheme,27,0,2,0.0,0,8
ThemeManagerImpl,39,0,1,0.0,1,16
ThemeMetadata,21,0,0,0.47619047619047616,2,1
WebloggerException,4,14,1,-1.0,0,0
MediaFileComparator,5,0,0,0.0,0,1
FileContent,7,0,0,0.0,2,1
WeblogPermission,24,0,2,1.0,25,4
WeblogTemplate,38,0,2,0.22580645161290322,16,3
MediaFile,80,0,0,0.21052631578947367,19,7
UserRole,13,0,0,0.18181818181818182,2,1
WeblogBookmarkFolder,24,0,0,0.23529411764705882,13,6
PingQueueEntry,18,0,0,0.125,4,3
MediaFileFilter,16,0,0,0.5,4,0
ThemeResource,1,1,1,-1.0,6,0
RuntimeConfigProperty,11,0,0,0.2222222222222222,7,1
WeblogEntryTagAggregate,17,0,0,0.13333333333333333,3,2
TagStatComparator,2,0,0,1.0,0,1
RollerPermission,18,2,0,0.18181818181818182,3,2
GlobalPermission,29,0,1,0.4,17,6
WeblogHitCount,12,0,0,0.3,4,2
WeblogEntryWrapperComparator,3,0,0,0.0,0,1
StatCount,18,0,0,0.0,5,1
StaticTemplate,12,0,1,0.25,0,1
Resource,5,1,0,-1.0,2,0
PingTarget,19,0,0,0.11764705882352941,14,1
StaticThemeTemplate,26,0,2,0.3076923076923077,0,0
User,36,0,0,0.1875,49,5
WeblogEntrySearchCriteria,26,0,0,0.5,19,2
Weblog,127,0,0,0.14432989690721648,113,20
WeblogEntryTag,20,0,0,0.1111111111111111,5,5
TagStatCountComparator,4,0,0,1.0,1,2
WeblogCategory,25,0,0,0.14285714285714285,21,6
OAuthConsumerRecord,12,0,0,0.4,2,1
TaskLock,22,0,0,0.2222222222222222,5,1
MediaFileDirectory,25,0,0,0.11764705882352941,13,3
MediaFileTag,13,0,0,0.18181818181818182,2,2
ThemeTemplate,6,3,1,-1.0,13,0
WeblogEntryAttribute,15,0,0,0.15384615384615385,4,2
WeblogEntryComment,39,0,0,0.3055555555555556,30,2
Template,6,2,0,-1.0,9,1
WeblogEntryTagComparator,2,0,0,1.0,0,1
CommentSearchCriteria,18,0,0,0.5,7,2
ObjectPermission,14,1,1,0.5714285714285714,1,0
AutoPing,14,0,0,0.18181818181818182,7,3
WeblogEntry,134,0,0,0.12903225806451613,54,20
MediaFileDirectoryComparator,3,0,0,0.0,0,1
WeblogBookmark,27,0,0,0.08333333333333333,12,3
Theme,12,2,0,-1.0,11,0
TemplateRendition,8,2,0,-1.0,6,0
TagStat,8,0,0,0.375,4,0
CustomTemplateRendition,17,0,1,0.2,10,2
StatCountCountComparator,5,0,0,1.0,1,2
OAuthAccessorRecord,22,0,0,0.45,2,1
WeblogTheme,2,2,1,0.0,11,1
WeblogCategoryWrapper,10,0,0,0.2222222222222222,5,4
WeblogEntryTagWrapper,6,0,0,0.4,0,2
WeblogEntryWrapper,47,0,0,0.043478260869565216,15,7
WeblogEntryAttributeWrapper,5,0,0,0.5,0,1
WeblogEntryCommentWrapper,20,0,0,0.1111111111111111,4,6
WeblogBookmarkWrapper,11,0,0,0.2,0,2
WeblogBookmarkFolderWrapper,6,0,0,0.4,2,1
ThemeTemplateWrapper,10,0,0,0.2222222222222222,2,1
UserWrapper,11,0,0,0.2222222222222222,6,3
WeblogWrapper,57,0,0,0.03773584905660377,9,9
RollerException,14,5,0,0.0,0,0
