component,smell_count
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/PreviewURLStrategy.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/themes/SharedThemeTemplate.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/filters/SpringFirewallExceptionFilter.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/MediaFileBase.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/EntryAddWithMediaFile.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/admin/GlobalCommentManagementBean.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/ObjectPermission.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/MediaFileImageDim.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/util/IPBanList.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/util/MediacastException.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/themes/SharedThemeResourceFromDir.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/config/WebloggerRuntimeConfig.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/search/lucene/IndexOperation.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/WeblogRemove.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/util/UIUtils.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/search/lucene/SearchOperation.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/runnable/ThreadManagerImpl.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/util/I18nUtils.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/GuiceWebloggerProvider.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/TestTask.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/UserManager.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/URLStrategy.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/pings/WeblogUpdatePinger.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/AbstractURLStrategy.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/jpa/JPAPingTargetManagerImpl.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/jpa/JPAPropertiesManagerImpl.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/util/GenericThrottle.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/StatCountCountComparator.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/User.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/TagStatCountComparator.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/MediaFileSearchBean.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/MediaFileDirectoryComparator.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/MediaFileFilter.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/CommentsBean.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/wrapper/WeblogWrapper.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/filters/CharEncodingFilter.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/core/Setup.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/core/Login.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/CategoryEdit.java,2
