Package Name,Class Name,LOC,NOM,WMC,NOF,FAN-IN,FAN-OUT,LCOM
org.apache.roller.weblogger.pojos.wrapper,ThemeTemplateWrapper,36,9,10,1,2,1,0.2222222222222222
org.apache.roller.weblogger.pojos.wrapper,UserWrapper,42,9,11,1,7,3,0.2222222222222222
org.apache.roller.weblogger.pojos.wrapper,WeblogBookmarkFolderWrapper,24,5,6,1,2,1,0.4
org.apache.roller.weblogger.pojos.wrapper,WeblogBookmarkWrapper,39,10,11,1,0,2,0.2
org.apache.roller.weblogger.pojos.wrapper,WeblogCategoryWrapper,38,9,10,2,5,4,0.2222222222222222
org.apache.roller.weblogger.pojos.wrapper,WeblogEntryAttributeWrapper,21,4,5,1,0,1,0.5
org.apache.roller.weblogger.pojos.wrapper,WeblogEntryCommentWrapper,90,18,20,2,4,6,0.1111111111111111
org.apache.roller.weblogger.pojos.wrapper,WeblogEntryTagWrapper,24,5,6,1,0,2,0.4
org.apache.roller.weblogger.pojos.wrapper,WeblogEntryWrapper,155,46,47,2,15,7,0.0434782608695652
org.apache.roller.weblogger.pojos.wrapper,WeblogWrapper,188,53,57,2,9,9,0.0377358490566037
org.apache.roller.weblogger.ui.core,CmaRollerContext,14,2,2,0,0,0,-1.0
org.apache.roller.weblogger.ui.core,RollerContext,231,11,32,3,11,9,0.3636363636363636
org.apache.roller.weblogger.ui.core,RollerLoginSessionManager,51,7,11,4,6,6,0.2857142857142857
org.apache.roller.weblogger.ui.core,SingletonHolder,3,0,0,1,1,1,-1.0
org.apache.roller.weblogger.ui.core,SessionCacheHandler,7,1,2,0,0,1,-1.0
org.apache.roller.weblogger.ui.core,RollerSession,116,7,20,4,12,8,0.0
org.apache.roller.weblogger.ui.core,RollerLoginSessionManagerTest,50,7,7,2,0,4,0.0
org.apache.roller.weblogger.ui.core,RollerSessionTest,93,8,8,8,0,6,0.0
org.apache.roller.weblogger.ui.core.filters,BootstrapFilter,29,4,5,2,0,2,0.5
org.apache.roller.weblogger.ui.core.filters,CharEncodingFilter,37,3,6,1,0,0,1.0
org.apache.roller.weblogger.ui.core.filters,CustomOpenIDAuthenticationProcessingFilter,42,2,6,1,0,0,1.0
org.apache.roller.weblogger.ui.core.filters,DebugFilter,26,3,3,1,0,0,1.0
org.apache.roller.weblogger.ui.core.filters,InitFilter,64,6,14,2,2,2,0.5
org.apache.roller.weblogger.ui.core.filters,IPBanFilter,24,3,4,1,0,1,0.6666666666666666
org.apache.roller.weblogger.ui.core.filters,LoadSaltFilter,21,3,4,0,1,2,-1.0
org.apache.roller.weblogger.ui.core.filters,PersistenceSessionFilter,29,3,4,1,0,1,1.0
org.apache.roller.weblogger.ui.core.filters,RoleAssignmentFilter,16,3,3,1,0,0,1.0
org.apache.roller.weblogger.ui.core.filters,RoleAssignmentRequestWrapper,19,2,3,1,0,3,1.0
org.apache.roller.weblogger.ui.core.filters,SpringFirewallExceptionFilter,22,3,3,1,0,0,1.0
org.apache.roller.weblogger.ui.core.filters,ValidateSaltFilter,50,4,10,2,1,3,0.5
org.apache.roller.weblogger.ui.core.filters,InitFilterTest,42,5,5,1,0,1,0.4
org.apache.roller.weblogger.ui.core.filters,LoadSaltFilterTest,42,5,5,7,0,3,0.4
org.apache.roller.weblogger.ui.core.filters,TestUser,9,4,4,1,0,0,0.0
org.apache.roller.weblogger.ui.core.filters,ValidateSaltFilterTest,104,9,9,7,0,4,0.2222222222222222
org.apache.roller.weblogger.ui.core.filters,TestUser,9,4,4,1,0,0,0.0
org.apache.roller.weblogger.ui.core.plugins,Summernote,16,4,4,0,0,0,-1.0
org.apache.roller.weblogger.ui.core.plugins,TextEditor,16,4,4,0,0,0,-1.0
org.apache.roller.weblogger.ui.core.plugins,UIPluginManager,16,2,2,0,3,0,-1.0
org.apache.roller.weblogger.ui.core.plugins,UIPluginManagerImpl,56,5,9,4,2,4,0.4
org.apache.roller.weblogger.ui.core.plugins,WeblogEntryEditor,20,3,3,0,1,0,-1.0
org.apache.roller.weblogger.ui.core.security,AuthoritiesPopulator,47,2,7,1,0,4,0.0
org.apache.roller.weblogger.ui.core.security,AutoProvision,3,1,1,0,2,0,-1.0
org.apache.roller.weblogger.ui.core.security,BasicUserAutoProvision,34,2,6,1,0,5,0.0
