TypeName,WMC,NC,DIT,LCOM,FANIN,FANOUT
VelocityRendererFactory,4,0,0,0.0,0,4
WebappResourceLoader,30,0,0,0.0,0,1
CacheInfo,11,0,0,0.5,0,2
CreateUserBean,28,0,0,0.0714285714285714,2,3
GlobalCommentManagement,36,0,0,0.238095238095238,0,9
GlobalCommentManagementBean,30,0,0,0.3181818181818182,1,2
GlobalConfig,36,0,0,0.2105263157894736,0,11
PingTargetBean,8,0,0,0.0,1,1
PingTargetEdit,18,0,0,0.4444444444444444,0,4
PingTargets,20,0,0,0.2666666666666666,0,3
UserAdmin,8,0,0,0.875,0,2
UserEdit,41,0,0,0.3333333333333333,0,8
CommentDataServlet,8,0,0,-1.0,0,8
ThemeDataServlet,7,0,0,-1.0,0,3
UserDataServlet,7,0,0,0.0,0,5
CreateWeblog,18,0,0,0.5,0,10
CreateWeblogBean,14,0,0,0.5,1,0
Install,26,0,0,0.4666666666666667,0,4
Login,9,0,0,0.5714285714285714,0,0
MainMenu,11,0,0,0.6363636363636364,0,4
OAuthAuthorize,9,0,0,0.625,0,1
OAuthKeys,12,0,0,0.75,0,4
Profile,24,0,0,0.375,0,4
ProfileBean,24,0,0,0.1666666666666666,2,1
Register,53,0,0,0.1904761904761904,2,9
Setup,15,0,0,0.2666666666666666,0,4
BookmarkBean,14,0,0,0.0,1,1
BookmarkEdit,17,0,0,0.25,0,5
Bookmarks,37,0,0,0.1,0,5
BookmarksImport,13,0,0,0.5555555555555556,0,4
Categories,6,0,0,0.5,0,3
CategoryBean,10,0,0,0.0,1,1
CategoryEdit,18,0,0,0.4,0,6
CategoryRemove,19,0,0,0.2857142857142857,0,5
Comments,49,0,0,0.1818181818181818,0,14
CommentsBean,33,0,0,0.3333333333333333,1,2
Entries,25,0,0,0.3333333333333333,0,8
EntriesBean,24,0,0,0.0952380952380952,1,2
EntryAddWithMediaFile,15,0,1,0.3,0,4
EntryBean,58,0,0,0.0,2,5
EntryEdit,62,0,0,0.3928571428571428,0,20
EntryRemove,12,0,0,0.4444444444444444,0,6
FolderBean,6,0,0,0.0,1,1
FolderEdit,18,0,0,0.25,0,5
Maintenance,5,0,0,0.6,0,5
MediaFileAdd,37,0,1,0.1428571428571428,0,9
MediaFileBase,25,6,0,0.1666666666666666,0,5
MediaFileBean,32,0,0,0.0,3,1
MediaFileEdit,20,0,1,0.2,0,5
MediaFileImageChooser,19,0,1,0.3076923076923077,0,4
MediaFileImageDim,4,0,1,0.5,0,4
MediaFileSearchBean,37,0,0,0.0,1,2
MediaFileView,52,0,1,0.1081081081081081,0,7
MemberResign,5,0,0,1.0,0,3
Members,21,0,0,0.0,0,5
MembersInvite,16,0,0,0.375,0,6
Pings,30,0,0,0.1764705882352941,0,8
StylesheetEdit,32,0,0,0.125,0,5
TemplateEdit,20,0,0,0.3,0,4
TemplateEditBean,39,0,0,0.1212121212121212,1,3
Templates,37,0,0,0.1764705882352941,0,4
ThemeEdit,28,0,0,0.1875,0,10
WeblogConfig,22,0,0,0.2142857142857142,0,10
WeblogConfigBean,54,0,0,0.0384615384615384,1,1
WeblogRemove,3,0,0,1.0,0,2
CommentsPager,9,0,0,0.0,2,1
EntriesPager,9,0,0,0.0,1,1
MediaFilePager,6,0,0,0.0,1,0
KeyValueObject,6,0,0,0.3333333333333333,0,0
UIAction,65,0,1,0.4181818181818181,4,11
UIActionInterceptor,7,0,0,0.0,0,4
UIActionPreparable,1,1,0,-1.0,1,0
UIActionPrepareInterceptor,4,0,0,0.0,0,1
UISecurityEnforced,4,1,0,-1.0,1,0
UISecurityInterceptor,16,0,0,0.0,0,8
UIUtils,6,0,0,1.0,1,0
LocaleComparator,2,0,0,-1.0,0,0
UIActionTest,3,0,0,-1.0,0,1
StringTagSupport,10,2,0,0.0,0,0
TruncateNicelyTag,18,0,1,0.1818181818181818,1,1
WordWrapTag,24,0,1,0.1666666666666666,1,1
Bannedwordslist,47,0,0,0.2,4,3
BannedwordslistChecker,10,0,0,-1.0,3,6
GenericThrottle,14,0,0,0.0,1,4
ClientInfo,0,0,0,-1.0,1,0
HTMLSanitizer,66,0,0,0.1875,9,2
SanitizeResult,0,0,0,-1.0,1,0
I18nMessages,15,0,0,0.0,14,2
I18nUtils,11,0,0,-1.0,3,0
IPBanList,18,0,0,0.3,4,2
ModifiedFile,3,0,0,0.0,1,0
LinkbackExtractor,44,0,0,0.1666666666666666,2,1
LinkbackCallback,23,0,0,0.0,0,0
LRUCache2,20,1,0,0.2142857142857142,2,2
Environment,1,1,0,-1.0,1,0
DefaultEnvironment,1,0,1,-1.0,0,0
CacheEntry,3,0,0,0.0,1,0
LRULinkedHashMap,2,0,0,0.0,0,0
MailUtil,60,0,0,0.2727272727272727,7,16
MailingException,1,0,0,-1.0,0,0
MediacastException,6,0,0,0.0,0,0
MediacastResource,8,0,0,0.0,2,0
MediacastUtil,5,0,0,1.0,1,1
PasswordUtility,23,0,0,-1.0,1,2
Reflection,10,0,0,-1.0,14,2
RollerMessages,19,0,0,0.1764705882352941,22,0
RollerMessage,5,0,0,0.0,4,0
StandaloneWebappClassLoader,5,0,0,0.0,1,1
Trackback,11,0,0,0.0,1,6
TrackbackNotAllowedException,1,0,0,-1.0,0,0
URLUtilities,12,0,0,-1.0,20,1
Utilities,110,0,0,0.6511627906976745,47,3
WSSEUtilities,4,0,0,-1.0,2,1
BannedwordslistTest,7,0,0,0.2857142857142857,0,1
IPBanListTest,9,0,0,0.0,0,1
LinkbackExtractorTest,1,0,0,-1.0,0,1
LRUCache2Test,4,0,0,0.0,0,2
TestEnvironment,1,0,1,0.0,1,1
UtilitiesTest,4,0,0,-1.0,0,1
Cache,6,1,0,-1.0,11,0
CachedContent,13,0,0,0.25,7,1
CacheFactory,1,2,0,-1.0,1,0
CacheHandler,8,0,0,-1.0,1,8
CacheManager,31,0,0,0.2,32,12
ExpiringCacheEntry,6,0,0,0.0,5,0
ExpiringLRUCacheFactoryImpl,3,0,1,1.0,0,1
ExpiringLRUCacheImpl,7,0,2,0.5,0,2
LazyExpiringCacheEntry,5,0,0,0.0,2,0
LRUCacheFactoryImpl,3,0,1,1.0,0,1
LRUCacheImpl,12,1,1,0.0,0,1
LRULinkedHashMap,2,0,0,0.0,0,0
